,sentence
89,"h. dividing the collateral, splitting it into apartments or relinquishing easements today."
90,Or waive rights that oblige others to tolerate or not do something  do with respect to a registry asset they own.
91," i. erecting or rebuilding, demolishing, building up or other works or parts of the collateral,  remove or sign up for a demolition or remediation scheme."
92,"The mortgage may also do not reap, pluck up, or fell fruits and plants, except what is common."
93," j. excavations, excavations, excavations or ."
94,with regard to the collateral  perform or tolerate similar acts.
95, k. use the collateral for purposes other than the purpose stated in the mortgage deed.
96,l. give the collateral for repair or for other work if it is  collateral may as a result be exposed to the exercise of a right of retention.
97,Obvion may defend and use legal remedies on behalf of the mortgagor if someone files a claim against the mortgagor or makes an instruction or notice with regard to the collateral.
98,"For example, under the Expropriation Act, the Obstacles to the Private Law Act, the Monuments Act, the Housing Act, the Nature Conservation Act and the Rural Areas Development Act."
99,"The rights that the mortgagor has pledged to Obvion in the mortgage deed until  security equal to that for which the right of mortgage has been granted, are: a. if a mortgage has been granted on a ground lease, subleasehold, superficies or other  limited right: all rights that the mortgagor against the landowner or limited entitled to exercise."
100,"For example, rights to compensation or payment in termination of the right of ground lease, subleasehold, superficies or other limited right."
101,if the collateral has been leased or otherwise put into use: all rights that the mortgagor can exercise against the tenant or user on basis of the rental or use agreement.
102,"For example, the right to rent or to collect usage fees."
103,"if the collateral is encumbered with an easement, a right of (under)  ground lease, a right of superficies, a right of usufruct, use or habitation, a limited right as referred to in Article 5 of the Private Law Barriers Act, or a other limited right: all rights that the mortgagor on the basis of the agreement or can exercise the law against the limited holder."
104,"For example, the right to to collect the fee, canon or other consideration."
105, d. all rights that the mortgagor with regard to the collateral against third parties  has or will have.
106,"For example, rights from insurance contracts and rights to indemnification in connection with expropriation of the collateral or of a part of them."
107, e. if the collateral has been sold: all rights that the mortgagor has against the  buyer.
108,"Including the right to claim payment of the purchase price, the share in the quality account of the notary, the right to invoke and collect bank guarantees and the right to demand deposits."
109,the right of the mortgagor to contributions related to the collateral  on the basis of a statutory regulation.
110,"For example, a contribution under the Act promotion of home ownership."
111, g. all movable property that is or will be intended according to popular opinion  to serve the collateral durably and to be identified as such by their shape  10  recognize; are separated from the collateral;  h. if a right of mortgage is established on an apartment right; all rights and claims arising for the mortgagor from a claim on behalf of the association home insurance taken out by owners.
112,The lender hereby gives to the lender irrevocable power of attorney to collect the benefit.
113,Can these rights not yet be pledged at the time of the mortgage?
114, Or did they only arise after the mortgage was granted?
115,Then the following applies.
116,"the hypo- the giver is obliged to immediately pledge these rights to Obvion, as soon as the pledge is possible."
117,"In addition, Obvion is authorized to grant these rights on behalf of the mortgagor to pledge oneself as security as for which the right of mortgage is granted."
118,"If Obvion so requests, the mortgagor is obliged to provide Obvion with all information, provide information and documents that Obvion deems necessary to be able to exercise its rights of pledge exercise."
119,"Without Obvion's prior written consent, the mortgagor may NOT:  a. transfer or change rights pledged or to be pledged to Obvion; b. encumber rights pledged or to be pledged to Obvion with a limited right; c. make arrangements with regard to rights pledged or to be pledged to Obvion; d. to terminate rights pledged or to be pledged to Obvion or have them terminated."
120,Obvion is authorized to attach conditions to this permission.
121,Obvion has the right at any time to give notice of the rights of pledge to  anyone wishing to notify Obvion.
122,"Obvion has the right to demand fulfillment and/or payment of the pledged rights, with or without legal proceedings."
123,Obvion also has the right to make arrangements with the debtors against whom the pledged rights can be exercised.
124,Paragraphs 3 to 6 of this article also apply to the rights of pledge that Obvion has on the basis of  of the law.
125,"If Obvion proceeds to the forced sale of the collateral, Obvion has the choice  between public sale (via a notary to be designated by it) and private sale with the approval of the judge of the court."
126,"In the event of a forced sale, Obvion is authorized:  a. to subdivide and/or subdivide the collateral into apartment rights; b. to sell the collateral in parts; c. sell multiple collateral together; d. establish auction or sale conditions; e. to establish easements and/or qualitative obligations; f. to exercise all rights under the purchase agreement, insofar as the law opposes this  not resist;  g. to postpone or cancel a sale."
127,"The mortgagor is obliged:  a. all desired information, data, documents and evidence about the collateral  to be handed over to the notary in charge of the sale."
128,Or to the preliminary relief judge of the court to whom a request for approval of a private sale has been submitted.
129," b. to enable interested parties to view the collateral at a location to be determined by Obvion  set days and times;  c. in the case of public or private sale, the collateral before the commencement of  the auction (public sale) or before the date of the notarial deed of transfer (private sale) completely and at the free disposal of the buyer set."
130,The costs of this will be borne by the mortgagor.
131,"If Obvion also has a pledge on movable property that is intended to be used as collateral,  on which the mortgage right is established, Obvion may use the pledged sell the goods and the collateral together in accordance with the rules that apply to the law of mortgage."
132,Obvion reduces the debts secured by the right of mortgage with the  proceeds of the forced sale.
133,Obvion is authorized to determine which debts are the yield are reduced and also the order in which and the extent and manner in which it happens.
134,Obvion may not:  a. with the usual notices of being for sale (or having them provided for).
135, The mortgagor is obliged to provide the collateral for viewing by interested parties to open up;  b. take under management if the mortgagor or the borrower seriously falls short in his/her  its obligations to Obvion and the preliminary relief judge of the court therefor gives permission;  c. take possession if necessary with a view to the forced sale and the  presiding judge of the court gives permission to do so.
136,"As Obvion therefore requests, the mortgagor is obliged to vacate the collateral completely or have it vacated and to make it freely available to Obvion."
137,The costs of this are borne by the mortgagor.
138,"If the preliminary relief judge of the court does not determine otherwise, Obvion may  conducting the management in any event at the expense of the mortgagor and in a manner that Obvion determines: a. take care of the administration and exploitation of the collateral and for this purpose a charge a fee;  b. maintain and/or repair the collateral; c. rent out the collateral or give it up for use on conditions to be determined by Obvion;  cancel or dissolve rental or user agreements; rental or usage fees receive and discharge;  d. make all payments in respect of the collateral, including insurance premiums,  taxes and business expenses;  e. exercise all rights and powers that the mortgagor has with regard to  to the collateral, insofar as Obvion deems this necessary for the management of the collateral."
139,"For the mortgagor who is not a borrower, in addition to all the provisions in these General Terms and Conditions, Conditions the following."
140,a. Obvion may provide other securities granted or yet to be granted to Obvion.
141, The mortgage lender cannot derive any rights from this;  b.
142,The mortgagor can never reclaim the costs he incurs for the collateral  from Obvion;  c.
143,"The mortgagor cannot require that Obvion, if it proceeds to sell, renders the pledged  and/or mortgage-encumbered property of the borrower in the sale or be the first to sell;  12  PCAV134_2103 p."
144,The mortgagor cannot derive any rights from the following situations:  Obvion changes repayment schedules or allows you to (partially)  omit;  the duration of a loan is extended; the amount of a loan is (temporarily) increased or decreased to a certain  amount or up to the original amount;  changes or additions to the conditions under which the borrower/mortgage  the giver and Obvion enter into agreements.
145," If the mortgagor who is not a borrower, by selling the collateral,  has a claim against the borrower, then this claim and the interest subordinated to all claims of Obvion against the borrower."
146,"This means that the mortgagor: no (full or partial) payment of the subordinated claim and the related claim  may assume interest due;  may not take recourse for the subordinated claim and the interest; may not set off, alienate or ."
147,this claim and the interest owed on it;  objections;  may not accept any security from the borrower for this claim and the interest.
148, This applies until all claims of Obvion against the borrower have been settled.
149, Proxy 1.
150,The borrower and the mortgagor grant Obvion an irrevocable power of attorney to to exercise the rights and powers granted to Obvion.
151,"As mentioned in this General Terms and Conditions, the mortgage deed, the deed of loan and/or the law."
152,The mortgagor grants Obvion an irrevocable power of attorney to acquire its share in  to collect the notary's quality account and to to demand and collect bank guarantees and deposits.
153,Obvion is authorized to (also) fully or partially grant the powers of attorney granted to it  to grant another.
154,And in order to act as a counterparty to it on the basis of a power of attorney to conclude agreements.
155,"If Obvion uses a power of attorney, the borrower/mortgage lender may  legal act performed pursuant to that power of attorney."
156,What costs does the mortgagor pay?
157," a. All costs of establishing, maintaining and exercising the right of mortgage."
158,"Including costs of cancellation, change of rank and renewal of the mortgage registration."
159, b. Costs of (re)valuation or inspection of the collateral.
160,All costs that Obvion incurs in connection with the preservation and maintenance of the  collateral.
161," d. All insurance premiums, payments, charges and taxes paid by Obvion with  relating to the collateral."
162,"All costs of establishing, maintaining and exercising the liens attached to  Obvion have been granted."
163,All judicial and extrajudicial costs that Obvion incurs in connection with its right  of mortgage or liens and to exercise and protect its rights.
164,All costs that Obvion incurs in connection with securing the collateral.
165,"All costs that Obvion incurs in the context of management, eviction,taking and foreclosure foreclosure."
166, i. All fees that Obvion determines in connection with the management of the collateral.
167," If Obvion has paid these costs, the mortgagor is obliged to pay them immediately  Obvion to be paid if Obvion so requests."
168,"The right of mortgage serves, among other things, as security for repayment of everything  what the borrower/mortgage lender owes to Obvion on the basis of the deed of money loan."
169, Chapter Money Loans  A.  General loan
170,Each borrower is jointly and severally liable.
171,That means the following.
172,"Obvion can do any  appeal to the borrower to: a. to pay the loan portion, the interest, any penalty and costs in full to Obvion; b. all obligations under the deed of loan, including the mortgage deed and the  terms and conditions, to be fully complied with."
173,"Obvion may determine that one of the borrowers, the ex-spouse or the ex-registered  partner of a borrower is no longer liable."
174,"In these cases, the other borrower(s) jointly and severally liable."
175,Does a borrower die?
176,Then the heirs are jointly and severally liable as described  under 1 in this article.
177,Do you have a claim against another borrower in connection with the loan?
178,Then your  claim and the interest owed thereon subordinated to all claims of Obvion on the borrower.
179,"This means that you: no (full or partial) payment of the subordinated claim and the related claim  may assume interest due;  may not take recourse for the subordinated claim and the interest; may not set off, alienate or ."
180,this claim and the interest owed on it;  objections;  may not accept any security from the borrower for this claim and the interest.
181,This applies until all Obvion's claims against the borrower have been settled.
182,Has the loan been extended to more than one person?
183,Then there are more borrowers.
184, Obvion only needs to inform one of you.
185,This information applies to all borrowers.
186,You must immediately let each other know what information Obvion provides to one of you.
187,Any of you may make communications to Obvion on behalf of the other.
188,This does not apply if Obvion determines that notification must be made by all borrowers.
189,Is someone else also liable for the loan?
190,Then Obvion does not have to separate the other  to inform.
191,You must let that other person know what information Obvion has given you.
192,This information also applies to the other person.
193,You may each separately exercise rights and fulfill obligations related to  the loan.
194,Each of you can do this without the other borrower(s).
195,Any borrower is bound by this.
196,Is someone else also liable for the loan?
197,Then that one others also bound.
198,This also applies after the death of one of you or someone who also dies  is liable.
199,"This does not apply to the rights and obligations that Obvion determines, that you must exercise and fulfill them together."
200,Payments to Obvion:  a. must take place on an IBAN specified by Obvion.
201,b. Obvion will debit your payment account via direct debit.
202,"As a debit of your account is not possible, for example if there is insufficient balance on your account, then you yourself ensure timely and correct payment."
203, c. of the monthly interest and/or repayment must be made no later than the last working day  are paid each month.
204," d. may be used in a manner and order to be determined by Obvion to:  pay outstanding fines, costs and other amounts; to pay outstanding interest; to repay part of the loan."
205, Obvion may determine which loan component is repaid first.
206,Obvion can also determine this  if Obvion receives money through forced sale or collection of collateral.
207,The same applies if Obvion otherwise receives money from you or another person for your debt.
208,Does Obvion collect amounts on behalf of another party that you owe to that other party?
209,"For example, for the deposit for the Savings Account SpaarGerust?"
210," In that case, Obvion will initially use your payments to pay the amounts that you  owe to Obvion (as stated in article 13.1.d)."
211,"Finally, the payment used to satisfy the other party's claim."
212, This also applies if Obvion has transferred these amounts to that other party on behalf of or for you  paid.
213,"For example, if Obvion pays the savings for the Savings Account SpaarGerust paid, because you yourself have not (yet) paid Obvion."
214,In that case may Allocate Obvion a payment to the amounts that Obvion has on your behalf or for you paid to the other party.
215,"Finally, Obvion may attribute the payment to the amounts that you must pay to that other party."
216,Payment takes place at the moment the money is transferred to Obvion's account  credited.
217,The bank where Obvion has its account determines this time.
218, Is Obvion not receiving an amount due from you on time?
219,"For example, because the balance of your account is insufficient."
220,Then you must pay Obvion penalty interest on the amount you did not pay on time.
221,Obvion determines this penalty interest on the basis of the statutory interest that applies at that time.
222,Obvion calculates the penalty interest for the period in which you do not pay on time paid.
223,You must pay the penalty interest on the first day of the month immediately after the month that Obvion informed you about the penalty interest that you have to pay.
224,Do you not pay the penalty interest on time?
225,Then you also have to pay penalty interest on this.
226, Obvion is authorized to make a payment on your behalf or for you.
227,"When Obvion makes a payment, for example because you have not paid your premium on time, you are obliged to pay that money immediately to be repaid to Obvion."
228,You also have to pay penalty interest from the moment of payment by Obvion.
229,Obvion determines this penalty interest on the basis of the statutory interest on that date moment applies.
230,Obvion calculates this penalty interest from the day on which Obvion makes the payment until you have repaid the payment to Obvion.
231,Are you paying the penalty interest not on time?
232,Then you also have to pay penalty interest on this.
233,The term of your loan component is the term that we have agreed with you in the  binding offer.
234,The term of your loan component starts on the first day of the calendar month following the  date on which Obvion transferred the money from the loan to you or the civil-law notary.
235,"If the money from the loan was transferred on the first day of the calendar month, then The term of your loan component starts on that day."
236,The end date of your loan component is the date on which the agreed term of the loan  loan portion ends.
237,This end date is stated in the binding offer accompanying the relevant loan part.
238,The loan component must be complete by the end date of your loan component at the latest repaid regardless of whether the end date of the fixed-rate period is later.
239,Obvion automatically deducts the amounts that you have to pay to Obvion from your  account.
240,You must give Obvion a power of attorney for this.
241,Obvion must be able to do this power of attorney to use.
242,And you should be able to use this account.
243,The amount will be approximately debited from your account on the penultimate working day of the month.
244,The first debit will take place in the calendar month in which Obvion receives the documents from  the notary has received.
245,These documents show that the loan has been granted.
246,It it is possible that the first debit will not take place until a month later.
247,Do you increase the money loan without the intervention of a notary?
248,"Then the first debit will take place to the end of that month or the month after that, depending on the date on which Obvion has transferred money to you."
249,Will the first debit take place a month later?
250,Then the first depreciation consists of  the amount due for that month plus the amount due for the remaining days of the month in which the loan was provided.
251, Obvion has agreed an interest rate with you.
252,"Or if there are more loan components, a interest rate for each loan component separately."
253,"Based on this, Obvion calculates the amount that you have to pay monthly interest."
254,The interest calculation starts on the date on which Obvion transfers the money from the loan to the notary.
255,Obvion calls this the value date.
256,Obvion calculates the amount that you have to pay in interest on the outstanding debt from the value date to the end of the month.
257,"For each subsequent month until the end of the term of the loan, Obvion calculates the amount that you have to pay in interest on the loan debt on the last day of the previous month."
258,"To calculate the amount that you have to pay in interest, Obvion prepares a month 30 days and a year on 360 days."
259,The interest always expires at the end of the month.
260, Is there a difference between the total cost of acquiring the collateral and the amount of the money loan?
261,Then you have to pay this difference with your own money.
262,"If the loan is (partly) intended to build or renovate a home, then  Obvion deposits the money, if more than the threshold amount, in whole or in part into a construction depot."
263,Do you want to use the money from the building fund account?
264,Then you first need permission of Obvion.
265,Have you agreed with Obvion that part of the construction or will you pay for the renovation yourself?
266,Then you must first use your own money.
267,This is what you owe to Obvion prove.
268,Only then can you use the money from the building fund account.
269,"If Obvion deposits the loan or part of it into a building fund account, the following applies:  a. the credit on the building fund account has been pledged to Obvion; b. this pledge serves as security for all claims of Obvion from that loan; c. a credit on the building fund account can only be transferred or pledged to Obvion; d. Obvion may decide not to let you use the money in the building fund account."
270,For example if construction does not proceed according to the construction plan.
271,Do you receive an invoice from the contractor or supplier for the construction or renovation?
272,and are  you agree with that account?
273,Then you can declare that account at Obvion.
274,a. You can claim via www.mijnobvion.nl.
275,We check your claim against the set conditions.
276,"If Obvion agrees with the invoices, we will transfer the amount to your account."
277, In some cases we can transfer the amount to your main contractor at your request to transfer.
278,"During the term of the building fund account, you must also pay monthly interest and/or  make repayments on the part of the loan that has been deposited into the building fund account."
279,"Bee renovation, the full monthly amount will be debited from your account."
280,The monthly We will deposit the interest payment in your building fund account.
281," In the case of new construction, the monthly interest payment is deducted from the monthly amount."
282, The remaining monthly amount will be debited from your account.
283,Do you want to deviate from this?
284,Then you have the following options: a. automatic direct debit of the full monthly amount from your account.
285, We deposit the monthly interest payment into your building fund account.
286," b. full/partial payment of the monthly amount charged to the building fund account,  if interest loss is co-financed."
287,You will receive a monthly interest payment on a credit on the building fund account.
288,The  interest is equal to the interest rate for the loan less 1%.
289,Are there more loan components?
290,"In that case, Obvion uses the weighted average of the interest percentages of the individual loan components (including bridging loan) reduced by 1%."
291,Obvion may cancel the building fund account:    a. when the construction or renovation is finished or stops; b. if you use the money from the building fund account for something other than construction or renovation; c. 2 years after Obvion has deposited the money in the building fund account; d. if you have not used the building fund account for 4 months or longer.
292,"In these cases, Obvion may use the credit of the building fund account for extra repayment of the loan."
293,You do not have to pay a fee for this.
294,Exists your loan from more loan parts?
295,Then Obvion will process this extra refund on the loan part of your choice.
296,Are you not giving a choice to Obvion?
297,Then Obvion determines on which loan component is additionally repaid.
298,"Termination of building fund account and remaining credit:   If there is a balance remaining when your building fund account is terminated, Obvion will use the credit for additional repayment of your loan."
299,Is the remaining credit less than the threshold amount?
300,Then we will transfer the remainder to the account number from which we monthly installment.
301,"Market value adjustment if construction or refurbishment is not completed:  If the construction or renovation stops before it is completed, the construction deposit will be terminated and that which is stated in article 8."
302,Obvion also reduces in a number of cases the market value of your home with the repaid amount.
303, Do you disagree with the reduction in market value?
304,Then you can request a valuation report  to demonstrate the current market value.
305,You will regularly receive an overview of the status of your building fund account.
306,More information can be found in the Construction Depot Signpost.
307,"You can request this from your advisor  or download it from our website, www.obvion.nl."
308,A bridging loan is a loan component with a maximum term of 2 years.
309,"You must repay the bridging loan if you own one of the collateral  transfers, but at the latest at the end of the term of the bridge loan."
310,Obvion determines the interest rate once a month (last working day) and informs  you about this.
311,"If the interest rate changes, your total monthly amount will also change."
312,Therefore you need to have enough room in your budget.
313,This way you can avoid fluctuations in your monthly payments catch.
314,How much financial space you need depends on your personal situation.
315,The interest rate is made up of the following variable components:  a. Basic rate This is the price Obvion pays for buying money to finance mortgages.
316,b. saves Surcharges in connection with developments on the capital markets and capital costs.
317,This surcharge covers the costs of the risks that Obvion runs with the financing of mortgages.
318,"Ongoing costs With this, Obvion covers part of its operating costs, such as housing and  personnel costs."
319, d. Gain.
320,"As a lender, Obvion can add this surcharge to its assets."
321,This states Obvion is also able to finance mortgages for future customers.
322,in addition Obvion thus meets the capital requirements of De Nederlandsche Bank.
323,"Obvion is authorized to change the above components if the developments and/or changes with regard to capital markets and cost of capital, financing risks of mortgages, ongoing charges, operating charges and rate groups its give rise to."
324,The amount of the above components can change monthly.
325,"As a result, the interest rate can also change monthly."
326,"You may always repay the bridging loan extra, without compensation."
327,The bridging loan is not included in determining the amount of the  original principal of the loan.
328,You may repay a maximum of 20% extra per loan component per calendar year without reimbursement of the original principal of that loan component.
329,Obvion calls this the fee-free sum.
330,"Did you not repay anything extra in a calendar year, or only part of this maximum? amount refunded?"
331,"In that case, you may use the (remaining) allowed for that calendar year."
332,additional repayment will not be refunded without compensation in a later calendar year.
333,There may be a minimum amount for an additional (monthly) refund.
334,Obvion  can change this amount during the term of the loan.
335,See “Explanation of the General Terms and Conditions” on obvion.nl for more information.
336,Do you want to repay more than the reimbursement-free sum of the loan component?
337,Then pays  you pay Obvion a compensation for the amount that exceeds this compensation-free sum.
338,This compensation is equal to the present value of the interest loss that Obvion suffers on the amount of the excess.
339,You do not pay more than it actually suffered financial disadvantage that Obvion has as a result of your additional repayment.
340,You only pay a fee if the interest rate that Obvion is paying for the remaining  fixed-rate period at the time of receipt of the additional repayment is lower than the interest rate you pay to Obvion.
341,How is the fee calculated?
342, The following questions are important for the calculation of the compensation:  1.
343,On what part of the amount of the additional refund do you pay compensation? 2.
344,How does Obvion determine the comparative interest?
345,Over which period is the compensation calculated?
346,How does Obvion determine the interest rate differential?
347,How does Obvion calculate the present value?
348, 1: On what part of the amount of the additional refund do you pay a fee?
349, Obvion calculates the compensation that you have to pay on the amount you owe her extra want to repay.
350,The reimbursement-free sum is first deducted from this amount.
351,"How Obvion determines the reimbursement-free sum, can be found in paragraph 1 of this article of this Terms and Conditions."
352," Example:  You want to repay an additional amount of € 40,000."
353,"Your loan consists of one loan component  with an original principal of €175,000."
354,"You may use 20% of the original principal sum of that loan component of € 175,000 per calendar year without additional compensation pay back."
355,"This is € 35,000."
356,"Because the amount you want to repay extra is greater than your reimbursement-free sum, Obvion will calculate a reimbursement of € 5,000 (€ 40,000 - € 35,000)."
357, Have you used (part of) the reimbursement-free sum before in the same calendar year?
358, Then we deduct the reimbursement-free sum used from the total reimbursement-free sum of that calendar year.
359, 2: How does Obvion determine the comparative interest?
360, Obvion then determines the comparative interest per loan component.
361,The comparative interest  Obvion determines on the basis of the interest rate at the time of receipt of the extra repayment is offered by Obvion if the loan part were to be closed again for the remaining fixed-rate period.
362, Obvion looks at how long the fixed-rate period of the loan component on which you repay extra  still running.
363,Obvion then checks whether it offers a fixed-rate period equal to the remaining fixed-rate period of the loan component on which you make additional repayments.
364,"If that if so, then the comparative interest is equal to the interest of that fixed-rate period on the time of receipt of the additional refund."
365,Will the loan be repaid in full?
366,"In that case, the comparative interest is determined on the date on which the final (overall) refund note is issued."
367, Does Obvion not offer a fixed-rate period equal to your remaining fixed-rate period?
368,Then  Obvion uses the highest interest rate offered by Obvion as the comparative interest nearest longer and shorter fixed-rate period.
369," When determining the comparator interest rate, Obvion takes the Obvion Flexible rate and the  variable monthly interest."
370, Example: You have a loan component with an (original) fixed-rate period of 10 years.
371,the interest  for this loan component is 3.8%.
372,You will repay this loan component extra after 3 years and 7 months.
373,The remaining fixed-rate period is then still 6 years and 5 months.
374,A fixed-rate period Obvion does not offer 6 years and 5 months.
375,That's why Obvion looks to the nearest longer and shorter fixed-rate periods that Obvion does offer.
376,"The nearest longer The fixed-rate period is in this case 7 years, with an interest rate of 3.6%."
377,"The nearest shorter  The fixed-rate period is in this case 6 years, with an interest rate of 3.4%."
378,The interest that Obvion used as a comparative interest rate in this example is 3.6%.
379, 3: Over which period is the compensation calculated?
380,"  To determine the period over which the compensation is calculated, Obvion looks at how  the fixed-interest period of the loan component on which you make additional repayments is still ongoing."
381,This we call the remaining fixed-rate period.
382, Obvion calculates the compensation over the remaining fixed-rate period.
383,"Because you a Obvion Mortgage has with the facility Freedom of Interest, the period from Freedom of interest deducted from the remaining fixed-rate period."
