,sentence
531, e. You or a third-party mortgagor is subject to a statutory debt rescheduling scheme of  has been declared applicable or has been requested to do so.
532,A creditors' agreement is offered by or for you or a third-party mortgagor.
533,The assets of you or a third-party mortgagor are placed under administration or management.
534,The assets of you or a third-party mortgagor will be seized.
537,"Your collateral or the collateral of a third-party mortgagor:  is transferred, expropriated, requisitioned or confiscated; is subject to another administrative coercion measure;  becomes worth much less; are you using for a purpose other than the purpose at the time the right of  gets damaged or is (partially) lost;  mortgage has been granted to Obvion;  is no longer inhabited or will no longer be inhabited within a few months."
541,Whether you  does not do what you have agreed with Obvion;  the insurance is surrendered; the insurance ends prematurely or is made non-contributory; the insurer adjusts the conditions; the emergency regulation or the bankruptcy of the insurer is pronounced.
546,"There is no permit required to build, renovate or use your home, expires or is revoked."
548,Security has been given on an apartment right and the association of apartment  owners decision: to amend the deed of division or the regulations; demolish the apartment building; cancel the split; that you or a third-party mortgagor may no longer use the apartment right.
549,You have given security on a ground lease or building rights and:  that justice has ended; this right is expected to end; change the terms of that right; you or a third-party mortgagor is not doing what it is required to do under that right of  leasehold or building.
569,"At your expense:  a. all taxes related to the loan and the home; b. all costs related to the loan; c. all costs related to collateral for the loan; and d. all costs for collection and enforcement (including legal costs) that Obvion makes, both in and out of court, with a minimum of € 500.00."
584," Ongoing costs With this, Obvion covers part of its operating costs, such as accommodation and personnel costs."
594," Obvion is authorized to change the above components if the developments and  or changes in capital markets and capital costs, risks to the financing mortgages, ongoing costs, operating costs and rate group its for that purpose give rise to."
633,"   Ongoing costs With this, Obvion covers part of its operating costs, such as housing and personnel costs."
640,"  Obvion is authorized to change the above components if the developments and/ or changes in capital markets and capital costs, risks to the financing mortgages, ongoing charges, operating expenses and rate groups its give rise to this."
873,Or with the proceeds from the sale of your home.
